folder,param1,param2,best_p,csv_name,c,d,avg_delta_term,avg_mu_raw_term
-5_-60,-5,-60,0.0351105841673274,CHEES_-35_4700.csv,-35,4700,0.0340713103835964,0.0374138562143141
-5_-58,-5,-58,0.0352950370221592,CHEES_-35_4700.csv,-35,4700,0.034214165710678,0.0389113672133237
-6_-60,-6,-60,0.0353608372496392,CHEES_-35_4700.csv,-35,4700,0.0343275814528777,0.0371972086834166
-5_-56,-5,-56,0.0354567288072419,CHEES_-35_4800.csv,-35,4800,0.0341499503994859,0.0470440226792173
-6_-58,-6,-58,0.0355331023703833,CHEES_-35_4700.csv,-35,4700,0.034458922366058,0.0386704801557107
-7_-60,-7,-60,0.0356198477178733,CHEES_-35_4700.csv,-35,4700,0.0345934098786242,0.036951762212967
-5_-54,-5,-54,0.0356431678940601,CHEES_-35_4800.csv,-35,4800,0.0342692862697815,0.0494597384740312
-6_-56,-6,-56,0.0356571047179294,CHEES_-35_4800.csv,-35,4800,0.0343574524527658,0.0467874815458902
-7_-58,-7,-58,0.0357734329264599,CHEES_-35_4700.csv,-35,4700,0.0347058349778554,0.0384335261497629
-6_-54,-6,-54,0.0358376248854169,CHEES_-35_4800.csv,-35,4800,0.034470858974385,0.0492035727971486
-8_-60,-8,-60,0.0358708679211811,CHEES_-35_4700.csv,-35,4700,0.0348513763610623,0.0367016961642774
-5_-52,-5,-52,0.0358823055518583,CHEES_-35_4800.csv,-35,4800,0.0344305971607825,0.0522615020787272
-7_-56,-7,-56,0.0358891542257147,CHEES_-35_4800.csv,-35,4800,0.0345963658077149,0.0465403830479958
-8_-58,-8,-58,0.0360477003997239,CHEES_-35_4700.csv,-35,4700,0.0349870748934672,0.0381825182252413
-7_-54,-7,-54,0.0360567436837422,CHEES_-35_4800.csv,-35,4800,0.0346963145620163,0.0489754483821314
-6_-52,-6,-52,0.0360903481133615,CHEES_-35_4800.csv,-35,4800,0.0346445064262767,0.0520503007350518
-8_-56,-8,-56,0.0361506250938058,CHEES_-35_4800.csv,-35,4800,0.0348648869373694,0.0462865736317115
-5_-50,-5,-50,0.036209267968057,CHEES_-35_4800.csv,-35,4800,0.034664669034817,0.0556055615966378
-8_-54,-8,-54,0.0362764901453425,CHEES_-35_4800.csv,-35,4800,0.0349235321105419,0.0487064892528215
-7_-52,-7,-52,0.0362875426507235,CHEES_-35_4800.csv,-35,4800,0.0348478213133211,0.0518299681464858
-6_-50,-6,-50,0.0363700588505817,CHEES_-35_4800.csv,-35,4800,0.0348319462096225,0.0553720550745336
-8_-52,-8,-52,0.0364903005072989,CHEES_-35_4800.csv,-35,4800,0.0350577181663506,0.0515729642741389
-10_-60,-10,-60,0.036494622420459,CHEES_-35_4700.csv,-35,4700,0.0354900518969238,0.036164538847267
-7_-50,-7,-50,0.0365405879135894,CHEES_-35_4800.csv,-35,4800,0.0350095403209702,0.0551177133342898
-5_-48,-5,-48,0.0365503913340685,CHEES_-35_4800.csv,-35,4800,0.0349000427193177,0.0594125501310255
-10_-58,-10,-58,0.0365888887649926,CHEES_-35_4800.csv,-35,4800,0.0353754139941418,0.0436850917506284
-10_-56,-10,-56,0.036674036329648,CHEES_-35_4800.csv,-35,4800,0.0354037999158509,0.0457285108966973
-6_-48,-6,-48,0.036711923535337,CHEES_-35_4800.csv,-35,4800,0.0350677640646718,0.0591897409439456
-8_-50,-8,-50,0.0367660203242805,CHEES_-35_4800.csv,-35,4800,0.0352414760974818,0.0548835921647544
-10_-54,-10,-54,0.0368255972064288,CHEES_-35_4800.csv,-35,4800,0.035485491975874,0.0482437882999711
-5_-46,-5,-46,0.0368316148166151,CHEES_-35_4900.csv,-35,4900,0.0348213853321105,0.0723682614421646
-7_-48,-7,-48,0.036875535577771,CHEES_-35_4800.csv,-35,4800,0.0352372814628778,0.0589771481361544
-6_-46,-6,-46,0.0369493591180436,CHEES_-35_4900.csv,-35,4900,0.0349449898536987,0.0721572935164174
-10_-52,-10,-52,0.0369607081906709,CHEES_-35_4800.csv,-35,4800,0.035542857196811,0.0510426357789559
-8_-48,-8,-48,0.0370569926111744,CHEES_-35_4800.csv,-35,4800,0.0354253431619086,0.0587393801735681
-7_-46,-7,-46,0.0371059433019582,CHEES_-35_4900.csv,-35,4900,0.0351065782264701,0.0719771427175725
-12_-60,-12,-60,0.03714376505086,CHEES_-35_4700.csv,-35,4700,0.036155808506139,0.035566435609957
-5_-44,-5,-44,0.0371502173208532,CHEES_-35_4900.csv,-35,4900,0.0349867430659862,0.0778850731752129
-10_-50,-10,-50,0.0371985446989332,CHEES_-35_4800.csv,-35,4800,0.0356867705619541,0.0544238689312494
-12_-58,-12,-58,0.0372404518014352,CHEES_-35_4800.csv,-35,4800,0.036044222347032,0.0430642603585143
-8_-46,-8,-46,0.0372517653731566,CHEES_-35_4900.csv,-35,4900,0.0352588357680741,0.0717454657829678
-6_-44,-6,-44,0.0372635282480666,CHEES_-35_4900.csv,-35,4900,0.0351052359067471,0.0776985242875003
-12_-56,-12,-56,0.0372889849490462,CHEES_-35_4800.csv,-35,4800,0.0360352490680307,0.0451344917165603
-12_-54,-12,-54,0.0373646830011782,CHEES_-35_4800.csv,-35,4800,0.036043747637074,0.0475536731077492
-7_-44,-7,-44,0.0373689798890061,CHEES_-35_4900.csv,-35,4900,0.0352160765550027,0.0775045200241236
-10_-48,-10,-48,0.0374306486722539,CHEES_-35_4900.csv,-35,4900,0.0355873592995743,0.0663584174164662
-12_-52,-12,-52,0.0375096363509111,CHEES_-35_4800.csv,-35,4800,0.0361085778239971,0.0504381069689059
-8_-44,-8,-44,0.0375248665244884,CHEES_-35_4900.csv,-35,4900,0.0353771694891319,0.0773170932728345
-10_-46,-10,-46,0.0375857031722981,CHEES_-35_4900.csv,-35,4900,0.0356069594347105,0.0712347745531514
-5_-42,-5,-42,0.0376514258865323,CHEES_-35_4900.csv,-35,4900,0.0353057279051666,0.0844451273291655
-12_-50,-12,-50,0.0376590826032962,CHEES_-35_4800.csv,-35,4800,0.036165639423665,0.0537639544667249
-6_-42,-6,-42,0.0377480309413262,CHEES_-35_4900.csv,-35,4900,0.0354061456135123,0.0843078718012997
-10_-44,-10,-44,0.0378007816883105,CHEES_-35_4900.csv,-35,4900,0.0356656004234372,0.0768665255354407
-7_-42,-7,-42,0.0378408532624538,CHEES_-35_4900.csv,-35,4900,0.0355042837141075,0.0841165037404655
-12_-48,-12,-48,0.0378569933013923,CHEES_-35_4900.csv,-35,4900,0.0360291287182333,0.0658031249937236
-14_-58,-14,-58,0.0379286691464367,CHEES_-35_4800.csv,-35,4800,0.0367521343564213,0.0423552524405562
-14_-60,-14,-60,0.0379393355313055,CHEES_-35_4700.csv,-35,4700,0.0369690234504552,0.0349312349106097
-8_-42,-8,-42,0.0379452961733086,CHEES_-35_4900.csv,-35,4900,0.0356133435743992,0.0839502935607365
-14_-56,-14,-56,0.0379584695154122,CHEES_-35_4800.csv,-35,4800,0.0367239657601634,0.0444421351889578
-12_-46,-12,-46,0.0379587670282376,CHEES_-35_4900.csv,-35,4900,0.0359952650284463,0.0706860719924893
-14_-54,-14,-54,0.0380104035342849,CHEES_-35_4800.csv,-35,4800,0.036708403174207,0.046872012962803
-14_-52,-14,-52,0.0380800723977851,CHEES_-35_4800.csv,-35,4800,0.036699288092698,0.0497082349831345
-12_-44,-12,-44,0.0381229543801241,CHEES_-35_4900.csv,-35,4900,0.036002661341958,0.0763305493739805
-10_-42,-10,-42,0.0381788277595576,CHEES_-35_4900.csv,-35,4900,0.0358573888886781,0.0835717993516599
-14_-50,-14,-50,0.0382327369634968,CHEES_-35_4800.csv,-35,4800,0.0367574091804588,0.053111800189368
-5_-40,-5,-40,0.0383035142713342,CHEES_-35_4900.csv,-35,4900,0.035744128279206,0.0921378957166185
-14_-48,-14,-48,0.0383459728427159,CHEES_-35_4900.csv,-35,4900,0.0365372785098373,0.0651129959836319
-14_-46,-14,-46,0.0383961038313206,CHEES_-35_4900.csv,-35,4900,0.0364501830376774,0.0700531485711579
-7_-40,-7,-40,0.038425394922463,CHEES_-35_4900.csv,-35,4900,0.0358735880248541,0.0918650483139185
-12_-42,-12,-42,0.0384296400294494,CHEES_-35_4900.csv,-35,4900,0.0361212189646938,0.0831031583312018
-6_-40,-6,-40,0.0384879400742652,CHEES_-35_5000.csv,-35,5000,0.035635125282285,0.102701332511285
-8_-40,-8,-40,0.0385206494570777,CHEES_-35_4900.csv,-35,4900,0.0359724584911896,0.0917348747719723
-14_-44,-14,-44,0.0385250117510912,CHEES_-35_4900.csv,-35,4900,0.0364197597707122,0.0757890712936427
-10_-40,-10,-40,0.0387162625914602,CHEES_-35_4900.csv,-35,4900,0.0361746180680976,0.091499202841052
-16_-54,-16,-54,0.0387446426420269,CHEES_-35_4800.csv,-35,4800,0.0374640923060529,0.0460998120950647
-14_-42,-14,-42,0.038755779223936,CHEES_-35_4900.csv,-35,4900,0.036461629225489,0.0825893999440919
-16_-56,-16,-56,0.0387585691502139,CHEES_-35_4800.csv,-35,4800,0.03754530620964,0.0436774658606576
-16_-58,-16,-58,0.0387800676614221,CHEES_-35_4800.csv,-35,4800,0.0376235871666335,0.0416332978123879
-16_-60,-16,-60,0.0388237128512711,CHEES_-35_4800.csv,-35,4800,0.0377153898970029,0.0398996263536551
-16_-52,-16,-52,0.0388335904566579,CHEES_-35_4800.csv,-35,4800,0.0374720510497758,0.0490154186477534
-12_-40,-12,-40,0.0388903274194027,CHEES_-35_4900.csv,-35,4900,0.0363613871799218,0.0910418486213122
-16_-50,-16,-50,0.0389135553211742,CHEES_-35_4800.csv,-35,4800,0.0374586495272496,0.052376608581285
-16_-46,-16,-46,0.0389138785224111,CHEES_-35_4900.csv,-35,4900,0.0369880614949992,0.0693294129868286
-16_-48,-16,-48,0.0389364886370464,CHEES_-35_4900.csv,-35,4900,0.0371478040091419,0.0643926466045634
-16_-44,-16,-44,0.0389536988069005,CHEES_-35_4900.csv,-35,4900,0.0368673373275773,0.075109013255637
-5_-38,-5,-38,0.0390173713839892,CHEES_-35_5000.csv,-35,5000,0.0358958508012419,0.112374740978905
-6_-38,-6,-38,0.0390454756013619,CHEES_-35_5000.csv,-35,5000,0.0359276009816094,0.11224348631109
-7_-38,-7,-38,0.0391020322205724,CHEES_-35_5000.csv,-35,5000,0.0359854218796387,0.11219797227361
-16_-42,-16,-42,0.0391129605688009,CHEES_-35_4900.csv,-35,4900,0.0368353918025553,0.0819924755848404
-14_-40,-14,-40,0.0391153540529295,CHEES_-35_4900.csv,-35,4900,0.0365981991382915,0.0906175769269661
-8_-38,-8,-38,0.0391427184335029,CHEES_-35_5000.csv,-35,5000,0.0360288959298972,0.112097610129804
-10_-38,-10,-38,0.0392390657190175,CHEES_-35_5000.csv,-35,5000,0.0361319443961519,0.111856367623163
-5_-37,-5,-37,0.0393539353667718,CHEES_-35_5000.csv,-35,5000,0.0360862909051949,0.11763520061677
-12_-38,-12,-38,0.0393633770225574,CHEES_-35_5000.csv,-35,5000,0.0362621707706163,0.111643425069879
-6_-37,-6,-37,0.0393686556192358,CHEES_-35_5000.csv,-35,5000,0.0361026171727172,0.117577384074671
-7_-37,-7,-37,0.0393970318865158,CHEES_-35_5000.csv,-35,5000,0.0361324760295618,0.117524010850346
-16_-40,-16,-40,0.0394062431648137,CHEES_-35_4900.csv,-35,4900,0.0369023689658926,0.0901394711611575
-8_-37,-8,-37,0.0394237994709831,CHEES_-35_5000.csv,-35,5000,0.0361616009795871,0.117439145690257
-18_-44,-18,-44,0.0395076143061948,CHEES_-35_4900.csv,-35,4900,0.0374426276505665,0.074339519602619
-14_-38,-14,-38,0.0395105228673321,CHEES_-35_5000.csv,-35,5000,0.0364186918174673,0.111305917795134
-10_-37,-10,-37,0.039510947167792,CHEES_-35_5000.csv,-35,5000,0.036252674869876,0.117297802724976
-18_-46,-18,-46,0.0395466501048364,CHEES_-35_4900.csv,-35,4900,0.0376431714289067,0.0685252323334672
-18_-42,-18,-42,0.0395774142905453,CHEES_-35_4900.csv,-35,4900,0.037318814724693,0.0813095843706858
-12_-37,-12,-37,0.0395785212141286,CHEES_-35_5000.csv,-35,5000,0.0363259924362647,0.117091036003101
-18_-48,-18,-48,0.039642988352435,CHEES_-35_4900.csv,-35,4900,0.0378785313572741,0.0635204518257935
-18_-54,-18,-54,0.0396645041729897,CHEES_-35_4800.csv,-35,4800,0.0384074093833016,0.0452554124287721
-18_-52,-18,-52,0.0396676781157145,CHEES_-35_4800.csv,-35,4800,0.0383307211755073,0.0481304498474613
-16_-38,-16,-38,0.0396722431699285,CHEES_-35_5000.csv,-35,5000,0.0365897795530929,0.110968690206084
-14_-37,-14,-37,0.0396789149923027,CHEES_-35_5000.csv,-35,5000,0.0364316817600623,0.116900396360655
-18_-50,-18,-50,0.0396820375707824,CHEES_-35_4800.csv,-35,4800,0.0382511136507693,0.051513261120473
-18_-56,-18,-56,0.0396960714062631,CHEES_-35_4800.csv,-35,4800,0.038506260403013,0.0428331961170017
-5_-36,-5,-36,0.0397349446944745,CHEES_-35_5000.csv,-35,5000,0.0363086680555939,0.123345958999701
-18_-40,-18,-40,0.0397423718217733,CHEES_-35_4900.csv,-35,4900,0.0372551686862923,0.0895393128773155
-18_-58,-18,-58,0.0397446542243685,CHEES_-35_4800.csv,-35,4800,0.038611785678124,0.0407832676648018
-6_-36,-6,-36,0.0397458792652879,CHEES_-35_5000.csv,-35,5000,0.036320342373676,0.123319328098031
-7_-36,-7,-36,0.0397619759661258,CHEES_-35_5000.csv,-35,5000,0.0363370270753078,0.123298160069447
-8_-36,-8,-36,0.0397698506521156,CHEES_-35_5000.csv,-35,5000,0.0363462864902538,0.123248309827023
-16_-37,-16,-37,0.0397950042055225,CHEES_-35_5000.csv,-35,5000,0.0365546339658122,0.116653328629568
-10_-36,-10,-36,0.039809522411443,CHEES_-35_5000.csv,-35,5000,0.0363877674135677,0.123183179923511
-18_-60,-18,-60,0.0398298659782276,CHEES_-35_4800.csv,-35,4800,0.0387439612949485,0.0390925685980468
-12_-36,-12,-36,0.039853812835121,CHEES_-35_5000.csv,-35,5000,0.0364351343850358,0.123072424203069
-18_-38,-18,-38,0.0398682771915209,CHEES_-35_5000.csv,-35,5000,0.0367976137007588,0.110543885667435
-14_-36,-14,-36,0.0398981096326603,CHEES_-35_5000.csv,-35,5000,0.0364825629332099,0.122959681180216
-18_-37,-18,-37,0.0399318261755765,CHEES_-35_5000.csv,-35,5000,0.0367000642075682,0.116343430848301
-16_-36,-16,-36,0.0399608931112039,CHEES_-35_5000.csv,-35,5000,0.0365490797285906,0.122825281774079
-18_-36,-18,-36,0.0400241971766514,CHEES_-35_5000.csv,-35,5000,0.0366169306968641,0.122661593272342
-20_-36,-20,-36,0.0401124820125721,CHEES_-35_5000.csv,-35,5000,0.0367117044514854,0.122427992199121
